"title","url","image","openTypeList","detail","baseInfoKeyList","baseInfoValueList"
"安徽农业科学","http://www.baike.com/wiki/安徽农业科学","http://a0.att.hudong.com/48/62/50200009239445155364624871764_s.jpg","农业科学","《安徽农业科学》是安徽省农业科学院主管主办、安徽省农科院农业经济与信息研究所出版的综合性农业学术期刊。 1961年，《安徽农业科学简报》和《安徽农学院学报》合并而成《安徽农业科学》；1966年6月，停刊。1979年下半年，复刊。 截至2017年12月，《安徽农业科学》编委员有顾问1人、委员32人。 据2018年4月中国知网显示，《安徽农业科学》共出版文献75551篇，总被下载13260324次、总被引401671次，（2017版）复合影响因子为0.423、（2017版）综合影响因子为0.248。 据2018年4月万方数据知识服务平台显示，《安徽农业科学》共载文71455篇，被下载3529662次、被引296607次，2015年影响因子为0.413。","名称：##类别：##语种：##主办单位：##主编：##创刊时间：##发行量：##主要栏目：##曾获奖项：##国别：##发行量：","安徽农业科学##农业科学##汉语##安徽省农业科学院##杨剑波##1961年##75551篇##基础科学·综述，农艺·园艺、资源·环境、动物科学·生物技术##2004年，荣获第四届全国优秀农业期刊一等奖。##中国##75551篇"
"一亩田[集团]","http://www.baike.com/wiki/一亩田[集团]","http://a3.att.hudong.com/16/24/50200009239445155800249063285_s.jpg","中国农业##互联网##农产品##网站","北京一亩田新农网络科技有限公司，成立于2011年，是一家基于移动互联网技术、深耕农产品产地、促进农产品流通效率的互联网公司。 成立以来，一亩田着眼于农产品的原货市场，打造农产品B2B电子商务平台。 平台定位于推动“农产品进城”，致力于“让每一亩田更有价值”。","中文名称：##组织形式：##创建时间：##总部所在地：##官方网站：##所属行业：##产品服务：##经营特点：","一亩田##有限责任##2011年9月##北京##http://www.ymt.com/##农产品诚信交易平台##农产品##国内领先的农产品商务平台"
"泡茶技巧","http://www.baike.com/wiki/泡茶技巧","http://a3.att.hudong.com/52/04/01300542164798137897049128164_s.jpg","茶学","饮茶文化源远流长，茶水富含人体所需的多种营养物质，特别是茶多酚，有防癌抗癌的功效，因此经常饮茶对身体很有好吃，下面分享一下泡茶的方法。","中文名：##英文名：##功效：##技巧：","泡茶技巧##Tea making skills##防癌抗癌##器皿、泡茶水、水温等"
"植物生产类专业","http://www.baike.com/wiki/植物生产类专业","//www.huimg.cn/entry/images/summary_default270x233.png","农学##园艺##茶学","如植物科学与技术、农学、园艺、植物保护、茶学、烟草、种子科学与工程、应用生物学。这些属于农学中的植物生产类专业。","",""
"农资超市","http://www.baike.com/wiki/农资超市","http://a1.att.hudong.com/81/96/28300001319940153138962808111_s.jpg","农业##农业科学","农资超市与传统意义上的超市品种齐全、价格低、老百姓生活依赖度高相类似，不同的是农资超市所面对的顾客群是乡镇市场的农牧民，并且主要以农药、化肥、种子、农膜、农机具、兽药、饲料等生产必需品为主，以各类生活必需品为辅。","中文名：##英文名：##特点：##辅助：##运用范围：","农资超市##Agricultural supermarket##品种齐全、价格低##各类生活必需品##农药，化肥，种子"
"大棚种植","http://www.baike.com/wiki/大棚种植","http://a4.att.hudong.com/33/17/20200005827290154864178628243_s.jpg","种植园","大棚种植是一种种植技术，该技术是一种科学的种植方式。","中文名：##英文名：##属性：##注意：##管理：","大棚种植##Greenhouse cultivation##一种种植技术##预防植株受冻##花前管理；喷施矮壮素；整株吊蔓"
"安树军","http://www.baike.com/wiki/安树军","//www.huimg.cn/entry/images/summary_default270x233.png","农民##工人","安树军，1966年生，唐山乐亭人，农民，曾当过电工。","中文名：##出生日期：##性别：##籍贯：##出生地：##民族：##国籍：##职业：","安树军##1966年8月31日##男##河北##乐亭县八里桥村##汉族##中国##农民 电工[从事电力生产、电气设备制造的人员]"
"黑龙江八五二农场","http://www.baike.com/wiki/黑龙江八五二农场","http://a3.att.hudong.com/82/45/50200009239445155357457107573_s.jpg","农场","黑龙江省农场总局八五二农场曾为黑龙江生产建设兵团第三师第二十团以中国人民解放军铁道兵部队的代号命名。位于黑龙江省东部，总占地1 363平方公里，耕地面积 80千公顷，荒地12.7千公顷，草原1千公顷，山林24.7千公顷，水面5.33千公顷，总人口5万人，是特大型现代化农场。被誉为“中国小粒黄豆之乡”，“中国专品种粮豆生产加工之乡”。","",""
"董立平[作家]","http://www.baike.com/wiki/董立平[作家]","http://a3.att.hudong.com/83/02/20300542392970149646025624674_s.jpg","人物##作家##农民","董立平，男，1987年5月出生于四川达州，文学爱好者，业余作家，创作各类文学作品数千篇。发表于《工人日报》、《浙江日报》、《中国妇女报》等杂志报纸。作品曾入选《2004年中国诗歌精品》等数十种作品集。并获得诸多奖项。现在家务农，与家人一起经营“村滋味食品专营”淘宝小店。","中文名：##出生日期：##性别：##英文名：##国籍：##出生地：##民族：##职业：##代表作品：","董立平##1987年5月##男##Dong Liping##中国##四川达州##汉族##作家##《科学和我们一起成长》"
"何永云","http://www.baike.com/wiki/何永云","//www.huimg.cn/entry/images/summary_default270x233.png","人物##农民","何永云，云南省保山市龙陵县龙江乡农民。2019年5月3日，在云南省保山市龙陵县龙江乡，49岁的何永云不顾20多年没游过泳，奋勇跳江救起一家三口，并对其中两人进行心肺复苏急救，及时挽救了其宝贵的生命。何永云的善举传出了大山，大家纷纷点赞，称他为“超能”大叔。","中文名：##出生地：##国籍：##职业：","何永云##云南省保山市龙陵县龙江乡##中国##农民"
"牟生林","http://www.baike.com/wiki/牟生林","//www.huimg.cn/entry/images/summary_default270x233.png","农民##歌手","2017年获得庆阳市西峰之声歌手大赛优秀奖 2017年12月受邀参加湖北卫视《大王小王》节目录制 2017年年底受邀参加庆阳市西峰之声春晚的录制 2018年6月，群文杯全国总决赛获得铜号奖2018年8月，庆阳市首届K歌之王大赛获新人奖","",""
